taset;n;algoritmo;median_time_ns;median_comparisons;median_swaps;median_shifts
citas_100.csv;100;BubbleSort;385000;4914;2434;0
citas_100.csv;100;SelectionSort;242900;4950;95;0
citas_100.csv;100;InsertionSort;145700;2527;0;2434
citas_100_casi_ordenadas.csv;100;BubbleSort;117400;3354;215;0
citas_100_casi_ordenadas.csv;100;SelectionSort;85600;4950;5;0
citas_100_casi_ordenadas.csv;100;InsertionSort;21700;314;0;215
pacientes_500.csv;500;BubbleSort;922900;124084;54473;0
pacientes_500.csv;500;SelectionSort;686600;124750;482;0
pacientes_500.csv;500;InsertionSort;642800;54972;0;54473
inventario_500_inverso.csv;500;BubbleSort;1559100;124750;124750;0
inventario_500_inverso.csv;500;SelectionSort;351900;124750;250;0
inventario_500_inverso.csv;500;InsertionSort;199900;124750;0;124750
